Question  1 ( Single Topic) A company has an infernal web application that runs on Amazon EC2 instances behind an Application Load Balancer. The instances run in an Amazon EC2 Auto Scaling group in a single Availability Zone. A SysOps administrator must make the application highly available. Which action should the SysOps administrator take to meet this requirement?	A. Increase the maximum number of instances in the Auto Scaling group to meet the capacity that is required at peak usage.	B. Increase the minimum number of instances in the Auto Scaling group to meet the capacity that is required at peak usage.	C. Update the Auto Scaling group to launch new instances in a second Availability Zone in the same AWS Region.	D. Update the Auto Scaling group to launch new instances in an Availability Zone in a second AWS Region.	C

Question  2 ( Single Topic) A company hosts a website on multiple Amazon EC2 instances that run in an Auto Scaling group. Users are reporting slow responses during peak times between 6 PM and 11 PM every weekend. A SysOps administrator must implement a solution to improve performance during these peak times. What is the MOST operationally efficient solution that meets these requirements?	A. Create a scheduled Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to increase the desired capacity before peak times.	B. Configure a scheduled scaling action with a recurrence option to change the desired capacity before and after peak times.	C. Create a target tracking scaling policy to add more instances when memory utilization is above 70%.	D. Configure the cooldown period for the Auto Scaling group to modify desired capacity before and after peak times.	B

Question  3 ( Single Topic) A company is running a website on Amazon EC2 instances behind an Application Load Balancer (ALB). The company configured an Amazon CloudFront distribution and set the ALB as the origin. The company created an Amazon Route 53 CNAME record to send all traffic through the CloudFront distribution. As an unintended side effect, mobile users are now being served the desktop version of the website. Which action should a SysOps administrator take to resolve this issue?	A. Configure the CloudFront distribution behavior to forward the User-Agent header.	B. Configure the CloudFront distribution origin settings. Add a User-Agent header to the list of origin custom headers.	C. Enable IPv6 on the ALB. Update the CloudFront distribution origin settings to use the dualstack endpoint.	D. Enable IPv6 on the CloudFront distribution. Update the Route 53 record to use the dualstack endpoint.	C

Question  4 ( Single Topic) A SysOps administrator has enabled AWS CloudTrail in an AWS account. If CloudTrail is disabled, it must be re-enabled immediately. What should the SysOps administrator do to meet these requirements WITHOUT writing custom code?	A. Add the AWS account to AWS Organizations. Enable CloudTrail in the management account.	B. Create an AWS Config rule that is invoked when CloudTrail configuration changes. Apply the AWS-ConfigureCloudTrailLogging automatic remediation action.	C. Create an AWS Config rule that is invoked when CloudTrail configuration changes. Configure the rule to invoke an AWS Lambda function to enable CloudTrail.	D. Create an Amazon EventBridge (Amazon CloudWatch Event) hourly rule with a schedule pattern to run an AWS Systems Manager Automation document to enable CloudTrail.	B

Question  5 ( Single Topic) A company hosts its website on Amazon EC2 instances behind an Application Load Balancer. The company manages its DNS with Amazon Route 53, and wants to point its domain's zone apex to the website. Which type of record should be used to meet these requirements?	A. An AAAA record for the domainג€™s zone apex	B. An A record for the domainג€™s zone apex	C. A CNAME record for the domainג€™s zone apex	D. An alias record for the domainג€™s zone apex	D

Question  6 ( Single Topic) A company must ensure that any objects uploaded to an S3 bucket are encrypted. Which of the following actions will meet this requirement? (Choose two.)	A. Implement AWS Shield to protect against unencrypted objects stored in S3 buckets.	B. Implement Object access control list (ACL) to deny unencrypted objects from being uploaded to the S3 bucket.	C. Implement Amazon S3 default encryption to make sure that any object being uploaded is encrypted before it is stored.	D. Implement Amazon Inspector to inspect objects uploaded to the S3 bucket to make sure that they are encrypted.	E. Implement S3 bucket policies to deny unencrypted objects from being uploaded to the buckets.	CE

Question  7 ( Single Topic) A company has a stateful web application that is hosted on Amazon EC2 instances in an Auto Scaling group. The instances run behind an Application Load Balancer (ALB) that has a single target group. The ALB is configured as the origin in an Amazon CloudFront distribution. Users are reporting random logouts from the web application. Which combination of actions should a SysOps administrator take to resolve this problem? (Choose two.)	A. Change to the least outstanding requests algorithm on the ALB target group.	B. Configure cookie forwarding in the CloudFront distribution cache behavior.	C. Configure header forwarding in the CloudFront distribution cache behavior.	D. Enable group-level stickiness on the ALB listener rule.	E. Enable sticky sessions on the ALB target group.	CE

